fold_id,t_end,mse,skill_vs_naive,mode,run_type
0,730,541.5372314453125,0.0,ts_supply_ts_latent,manual
1,744,12932.189453125,-46.70034919607908,ts_supply_ts_latent,manual
2,758,229.14732360839844,0.0,ts_supply_ts_latent,manual
3,772,80.11309814453125,0.0,ts_supply_ts_latent,manual
4,786,51.282737731933594,-0.0027934479848705784,ts_supply_ts_latent,manual
5,800,49.77231979370117,0.0,ts_supply_ts_latent,manual
6,814,40.05356979370117,0.0,ts_supply_ts_latent,manual
7,828,97.0,0.008201112167259605,ts_supply_ts_latent,manual
8,842,321.09820556640625,-3.3251615937178824,ts_supply_ts_latent,manual
9,856,205.9583282470703,0.04461337790492659,ts_supply_ts_latent,manual
10,870,37.511905670166016,0.04377513871235528,ts_supply_ts_latent,manual
11,884,63.41071319580078,0.054180606954439714,ts_supply_ts_latent,manual
12,898,45.4836311340332,0.05858254991503509,ts_supply_ts_latent,manual
13,912,36.8125,0.06352212512358368,ts_supply_ts_latent,manual
14,926,52.818450927734375,0.053846605375291956,ts_supply_ts_latent,manual
15,940,47.186012268066406,0.052302842195838806,ts_supply_ts_latent,manual
16,954,46.57291793823242,0.07281883310366721,ts_supply_ts_latent,manual
17,968,65.3422622680664,0.09698519229394498,ts_supply_ts_latent,manual
18,982,36.41368865966797,0.011432963060273083,ts_supply_ts_latent,manual
19,996,81.83184814453125,0.059339701770245834,ts_supply_ts_latent,manual
20,1010,67.81696319580078,-0.09015884123792794,ts_supply_ts_latent,manual
21,1024,126.13243865966797,0.03953540334046135,ts_supply_ts_latent,manual
22,1038,56.61606979370117,0.05294603586072266,ts_supply_ts_latent,manual
23,1052,71.58036041259766,0.0,ts_supply_ts_latent,manual
24,1066,62.67410659790039,0.0,ts_supply_ts_latent,manual
25,1080,87.54017639160156,0.0,ts_supply_ts_latent,manual
26,1094,59.23958206176758,0.0,ts_supply_ts_latent,manual
27,1108,50.6101188659668,0.0,ts_supply_ts_latent,manual
28,1122,59.84672546386719,0.0,ts_supply_ts_latent,manual
29,1136,84.52232360839844,0.0,ts_supply_ts_latent,manual
30,1150,41.37053680419922,0.029328584145773662,ts_supply_ts_latent,manual
31,1164,92.49553680419922,-0.03525984319072051,ts_supply_ts_latent,manual
32,1178,57.436012268066406,0.08065166515156774,ts_supply_ts_latent,manual
33,1192,29.165178298950195,0.005076396781775627,ts_supply_ts_latent,manual
34,1206,35.6413688659668,0.020609282458220468,ts_supply_ts_latent,manual
35,1220,40.86606979370117,0.0,ts_supply_ts_latent,manual
36,1234,47.88393020629883,0.0,ts_supply_ts_latent,manual
37,1248,18.098215103149414,-0.007872807199233334,ts_supply_ts_latent,manual
38,1262,20.428571701049805,0.005937669092471731,ts_supply_ts_latent,manual
39,1276,24.800594329833984,-0.01597164298698761,ts_supply_ts_latent,manual
40,1290,37.43006134033203,-0.0038313525564583895,ts_supply_ts_latent,manual
41,1304,37.25893020629883,0.012190748465979673,ts_supply_ts_latent,manual
42,1318,20.046131134033203,0.03902124130565776,ts_supply_ts_latent,manual
43,1332,24.754465103149414,0.05132588826253748,ts_supply_ts_latent,manual
44,1346,16.1324405670166,0.09454609841689865,ts_supply_ts_latent,manual
45,1360,30.004465103149414,0.0,ts_supply_ts_latent,manual
46,1374,33.467262268066406,0.0402833585589748,ts_supply_ts_latent,manual
47,1388,2486.02685546875,-102.6873163199124,ts_supply_ts_latent,manual
48,1402,24.720237731933594,-6.018637405191818e-05,ts_supply_ts_latent,manual
49,1416,28.816965103149414,-5.169580783404015e-05,ts_supply_ts_latent,manual
50,1430,23.98958396911621,-6.209910890553338e-05,ts_supply_ts_latent,manual
51,1444,32.793155670166016,0.0,ts_supply_ts_latent,manual
52,1458,65.72172546386719,-0.003271182763113556,ts_supply_ts_latent,manual
53,1472,45.087799072265625,-0.38941626394015993,ts_supply_ts_latent,manual
54,1486,48.738094329833984,0.05485816287504708,ts_supply_ts_latent,manual
55,1500,24.318452835083008,-0.00012244758364876596,ts_supply_ts_latent,manual
56,1514,70.03571319580078,0.0020356699381612886,ts_supply_ts_latent,manual
57,1528,47.644344329833984,0.006886058516508808,ts_supply_ts_latent,manual
58,1542,25.76785659790039,0.0012112822543453028,ts_supply_ts_latent,manual
59,1556,29.6875,0.0008013592614322107,ts_supply_ts_latent,manual
60,1570,29.657737731933594,0.0041473164513379235,ts_supply_ts_latent,manual
61,1584,38.41368865966797,-0.012115228498180697,ts_supply_ts_latent,manual
62,1598,46.831844329833984,0.024064261883375848,ts_supply_ts_latent,manual
63,1612,85.23512268066406,0.0,ts_supply_ts_latent,manual
64,1626,55.95833206176758,0.005027246689487064,ts_supply_ts_latent,manual
65,1640,60.95981979370117,0.018261583594143205,ts_supply_ts_latent,manual
66,1654,56.869049072265625,0.007453942409628045,ts_supply_ts_latent,manual
67,1668,51.400299072265625,0.008411328985269861,ts_supply_ts_latent,manual
68,1682,64.21875,0.004796727300673376,ts_supply_ts_latent,manual
69,1696,43.97618865966797,0.009419120306390139,ts_supply_ts_latent,manual
70,1710,60.37797546386719,0.0008126587653231043,ts_supply_ts_latent,manual
71,1724,47.730655670166016,0.003479612726828951,ts_supply_ts_latent,manual
72,1738,4155.50439453125,-71.49101575411441,ts_supply_ts_latent,manual
73,1752,51.438987731933594,0.00495117963906333,ts_supply_ts_latent,manual
74,1766,92.44345092773438,0.021438825773238523,ts_supply_ts_latent,manual
75,1780,66.09375,0.032795483913753865,ts_supply_ts_latent,manual
76,1794,60.123512268066406,0.03978417984557969,ts_supply_ts_latent,manual
77,1808,57.32589340209961,0.013748070501512055,ts_supply_ts_latent,manual
78,1822,89.62946319580078,0.0193266209967331,ts_supply_ts_latent,manual
79,1836,89.20982360839844,0.023663708216067114,ts_supply_ts_latent,manual
80,1850,127.60862731933594,0.02081621685227697,ts_supply_ts_latent,manual
81,1864,95.38392639160156,0.018753017793759708,ts_supply_ts_latent,manual
82,1878,100.05208587646484,0.0038963720148474934,ts_supply_ts_latent,manual
83,1892,71.03868865966797,0.0026949521140180455,ts_supply_ts_latent,manual
84,1906,87.13541412353516,0.006986991900880035,ts_supply_ts_latent,manual
85,1920,91.82142639160156,0.0004536288648149256,ts_supply_ts_latent,manual
86,1934,78.08184814453125,0.0017502434578505754,ts_supply_ts_latent,manual
87,1948,89.02083587646484,-0.006934892355126898,ts_supply_ts_latent,manual
88,1962,82.45237731933594,-0.0026055949692331826,ts_supply_ts_latent,manual
89,1976,70.66220092773438,0.024207293984724654,ts_supply_ts_latent,manual
90,1990,64.01487731933594,0.0032670235184828478,ts_supply_ts_latent,manual
91,2004,9847.1103515625,-123.67515318024019,ts_supply_ts_latent,manual
92,2018,83.23213958740234,0.03385620425344393,ts_supply_ts_latent,manual
93,2032,77.84970092773438,0.08485813390598029,ts_supply_ts_latent,manual
94,2046,61.967262268066406,0.09585945400068663,ts_supply_ts_latent,manual
95,2060,45.33481979370117,-0.029501204899851086,ts_supply_ts_latent,manual
96,2074,34.16071319580078,0.03171929175040211,ts_supply_ts_latent,manual
97,2088,66.21131134033203,0.005587352018875169,ts_supply_ts_latent,manual
98,2102,49.86606979370117,-0.04363259215071125,ts_supply_ts_latent,manual
99,2116,48.77678680419922,0.01785815511099975,ts_supply_ts_latent,manual
100,2130,53.76339340209961,0.005614700285677343,ts_supply_ts_latent,manual
101,2144,87.78571319580078,0.002097579145973194,ts_supply_ts_latent,manual
102,2158,103.42559814453125,0.01275562668555874,ts_supply_ts_latent,manual
103,2172,86.43452453613281,0.006414764614368185,ts_supply_ts_latent,manual
104,2186,75.90327453613281,0.005459439968802604,ts_supply_ts_latent,manual
105,2200,78.34077453613281,0.020193591375650355,ts_supply_ts_latent,manual
106,2214,68.51637268066406,0.019192983203395686,ts_supply_ts_latent,manual
107,2228,36.32143020629883,0.02617294855138108,ts_supply_ts_latent,manual
108,2242,67.11904907226562,0.011462521565968498,ts_supply_ts_latent,manual
109,2256,56.886905670166016,0.0009146994676614284,ts_supply_ts_latent,manual
110,2270,1202.90771484375,-14.982007263022748,ts_supply_ts_latent,manual
111,2284,42.95089340209961,0.05986775229841168,ts_supply_ts_latent,manual
112,2298,30.127975463867188,0.04832190730177521,ts_supply_ts_latent,manual
113,2312,41.56547546386719,0.020479764572963077,ts_supply_ts_latent,manual
114,2326,79.03571319580078,0.025878969749724923,ts_supply_ts_latent,manual
115,2340,38.29464340209961,0.009621323893931,ts_supply_ts_latent,manual
116,2354,26.94791603088379,0.004453036342106476,ts_supply_ts_latent,manual
117,2368,32.157737731933594,0.039085806987283034,ts_supply_ts_latent,manual
118,2382,30.876487731933594,-0.026720777600169,ts_supply_ts_latent,manual
119,2396,51.488094329833984,-0.014216605993087272,ts_supply_ts_latent,manual
120,2410,60.2038688659668,-0.004444110381093491,ts_supply_ts_latent,manual
121,2424,40.7663688659668,0.019260351689941668,ts_supply_ts_latent,manual
122,2438,31.002975463867188,0.017356847869232417,ts_supply_ts_latent,manual
123,2452,72.02678680419922,0.0,ts_supply_ts_latent,manual
124,2466,37.95535659790039,-0.016296773719078894,ts_supply_ts_latent,manual
125,2480,42.2038688659668,-0.012242160983918282,ts_supply_ts_latent,manual
126,2494,11963.4638671875,-270.52040435208346,ts_supply_ts_latent,manual
127,2508,38.550594329833984,0.05881923983068105,ts_supply_ts_latent,manual
128,2522,41.27381134033203,0.04746199706254006,ts_supply_ts_latent,manual
129,2536,32.35416793823242,0.028854684264595476,ts_supply_ts_latent,manual
